Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.7,80,6,4,1,3,7,85,"3,971",64,677,10.6,91,35.9,"3,054",(61),-145,+91,"2,939",34.6
CGY,48.0,77,5,10,4,8,4,101,"4,853",80,981,12.3,94,36.4,"3,672",(63),-145,+158,"3,622",35.9
EDM,45.3,85,6,3,0,6,9,101,"4,576",73,872,11.9,68,34.3,"3,464",(72),-235,+123,"3,280",32.5
HAM,44.5,78,2,5,1,2,5,91,"4,050",72,678,9.4,77,36.2,"3,292",(18),-125,+70,"3,219",35.4
MTL,47.3,67,1,7,0,3,1,83,"3,929",68,685,10.1,48,38.6,"3,204",(9),-57,+38,"3,176",38.3
OTT,47.9,74,4,8,2,7,2,95,"4,552",75,832,11.1,107,37.5,"3,560",(56),-145,+88,"3,447",36.3
SSK,48.1,90,5,7,2,5,6,103,"4,956",79,"1,038",13.1,92,36.1,"3,718",(45),-146,+55,"3,582",34.8
TOR,48.3,75,7,9,0,4,3,86,"4,152",65,722,11.1,52,36.6,"3,150",(101),-75,+58,"3,032",35.3
WPG,46.4,73,2,9,0,3,8,72,"3,343",53,684,12.9,48,35.8,"2,579",(2),-70,+70,"2,577",35.8
CFL,47.0,90,38,62,10,41,,817,"38,382",629,"7,169",11.4,107,36.3,"29,693",(427),-1143,+751,"28,874",35.3
