Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,321,85,211,25,293,99,167
CGY,284,97,166,21,295,124,150
EDM,269,108,135,26,314,118,167
HAM,277,91,170,16,320,113,182
MTL,281,92,164,25,304,104,168
OTT,307,127,146,34,294,82,195
SSK,295,94,185,16,299,114,166
TOR,274,96,157,21,292,87,182
WPG,338,128,180,30,235,77,137
CFL,2646,918,"1,514",214,"2,646",918,1514
