TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,181 68%,44,26,59.1,13,4,1,213,69%,38,20,52.6,14,4,0
CGY,180 69%,39,18,46.2,16,5,0,173,63%,37,20,54.1,14,3,0
EDM,232 69%,29,18,62.1,7,4,0,145,71%,48,25,52.1,19,2,2
HAM,239 68%,43,23,53.5,17,3,0,210,70%,50,28,56.0,14,7,1
MTL,211 64%,39,20,51.3,12,7,0,175,64%,47,24,51.1,15,8,0
OTT,246 72%,43,20,46.5,13,8,2,181,60%,49,30,61.2,16,3,0
SSK,213 76%,43,21,48.8,16,6,0,195,65%,40,25,62.5,12,3,0
TOR,183 69%,47,32,68.1,12,3,0,260,79%,38,22,57.9,10,5,1
WPG,152 62%,55,33,60.0,18,3,1,285,74%,35,17,48.6,10,8,0
CFL,"1,837 69%",382,211,55.2,124,43,4,"1,837",69%,382,211,55.2,124,43,4
