Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,13,13,71,20,78,1.00,247,41.1,"1,521",9.4,"4,557",49,24,558,485,317,65.4,"3,704",86.1,2.7,7.6,41.1,"1,521"
CGY,12,23,76,19,69,1.92,235,42.6,"1,501",9.9,"4,285",37,32,504,435,287,66.0,"3,525",97.0,2.8,8.1,42.6,"1,501"
EDM,12,21,70,24,97,1.75,258,35.1,"1,360",11.1,"4,711",34,22,480,424,289,68.2,"3,876",101.7,2.8,9.1,35.1,"1,360"
HAM,17,20,70,28,86,1.18,273,38.8,"1,590",11.2,"4,910",32,37,508,439,288,65.6,"4,099",94.7,3.9,9.3,38.8,"1,590"
MTL,20,15,68,19,109,0.75,251,35.8,"1,349",10.3,"4,967",30,26,539,483,316,65.4,"3,767",82.2,4.1,7.8,35.8,"1,349"
OTT,21,27,95,35,99,1.29,313,41.0,"1,922",11.0,"5,150",41,32,542,469,318,67.8,"4,692",100.8,4.5,10.0,41.0,"1,922"
SSK,13,26,102,31,74,2.00,264,40.5,"1,601",12.2,"5,065",34,38,487,415,272,65.5,"3,957",104.3,3.1,9.5,40.5,"1,601"
TOR,20,25,84,19,93,1.25,301,43.9,"1,851",9.5,"4,781",49,24,578,505,363,71.9,"4,212",96.7,4.0,8.3,43.9,"1,851"
WPG,13,10,80,18,76,0.77,225,34.8,"1,173",11.1,"5,056",40,41,535,454,276,60.8,"3,370",79.1,2.9,7.4,34.8,"1,173"
CFL,141,180,102,213,781,1.28,525,39.4,13868,10.6,"43,482",346,276,"4,731","4,109","2,726",66.3,"35,202",93.4,3.4,8.6,39.4,13868
