Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,32,85,11,18%,211,39,41,37,4,122,25,29,4,14,3,7,1,2,2,60,28%
CGY,7,26,101,6,12%,212,25,47,29,2,122,12,32,3,13,4,14,4,2,0,72,34%
EDM,5,32,101,9,16%,199,31,21,22,3,123,18,36,7,12,2,6,1,0,0,64,32%
HAM,6,37,90,10,13%,204,27,34,38,2,107,14,33,6,17,4,7,0,2,1,72,35%
MTL,10,29,83,11,14%,197,27,37,37,3,100,13,41,8,11,1,7,2,1,0,62,31%
OTT,7,34,95,16,13%,217,29,36,36,1,122,15,36,4,9,4,10,4,4,1,80,37%
SSK,7,35,103,9,13%,216,29,33,31,3,120,14,39,5,13,1,12,5,1,1,74,34%
TOR,2,19,86,10,24%,189,45,27,25,2,88,20,38,6,18,6,18,10,2,1,64,34%
WPG,4,29,72,13,25%,205,51,36,22,5,124,26,32,10,16,5,10,5,1,0,65,32%
CFL,51,273,816,95,,"1,850",303,312,277,25,1028,157,316,53,123,30,91,32,15,6,613,33%
