Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,64,677,10.6,91,1,3,61,"1,203",19.7,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,13,80,981,12.3,94,4,8,45,945,21.0,42,0,2,5,212,102,0,3,4,0,0,4
EDM,,8,73,872,11.9,68,0,6,47,754,16.0,62,0,2,3,41,29,0,0,0,0,0,0
HAM,,5,72,678,9.4,77,1,2,48,921,19.2,43,0,2,3,47,30,0,1,1,0,0,1
MTL,,6,68,685,10.1,48,0,3,53,"1,177",22.2,42,0,1,6,168,69,0,2,0,0,0,0
OTT,,11,75,832,11.1,107,2,7,50,982,19.6,50,0,1,4,282,120,1,3,2,0,1,3
SSK,,10,79,"1,038",13.1,92,2,5,44,863,19.6,43,0,3,5,205,86,0,2,2,0,0,2
TOR,,14,65,722,11.1,52,0,4,71,"1,868",26.3,79,0,9,1,60,60,0,1,0,0,0,0
WPG,,8,53,684,12.9,48,0,3,76,"1,879",24.7,62,0,4,3,85,67,0,1,0,0,0,0
CFL,270,82,629,"7,169",11.4,107,10,41,495,"10,592",21.4,82,1,28,32,"1,142",120,1,13,10,1,1,12
