Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,20,3,23,1.53
CGY,12,6,18,1.20
EDM,9,7,16,1.07
HAM,19,3,22,1.47
MTL,19,8,27,1.80
OTT,7,3,10,0.67
SSK,4,6,10,0.67
TOR,8,2,10,0.71
WPG,12,0,12,0.80
CFL,110,38,148,2.21
