Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,4,5,72,"4,384",60.9,70,"1,363",19.5,82,69,"4,338",62.9,"2,562",36.6
CGY,82,0,0,0,2,4,55,"3,532",64.2,55,"1,126",20.5,42,54,"3,517",65.1,"1,962",37.0
EDM,100,1,1,0,2,9,61,"3,534",57.9,56,918,16.4,62,61,"3,534",57.9,"2,297",38.9
HAM,79,1,0,0,3,7,61,"3,635",59.6,56,"1,132",20.2,49,58,"3,593",61.9,"2,364",40.1
MTL,80,0,0,0,1,3,64,"4,195",65.5,63,"1,373",21.8,42,64,"4,195",65.5,"2,245",36.2
OTT,77,0,0,0,1,8,56,"3,353",59.9,54,"1,063",19.7,50,56,"3,353",59.9,"2,202",39.3
SSK,95,1,3,0,3,6,58,"3,425",59.1,53,"1,017",19.2,43,54,"3,373",62.5,"2,050",37.3
TOR,100,2,0,1,10,1,86,"6,147",71.5,84,"2,217",26.4,93,86,"6,147",71.5,"2,916",34.7
WPG,90,1,0,1,5,2,88,"5,814",66.1,87,"2,176",25.0,98,88,"5,814",66.1,"3,214",37.4
CFL,100,7,4,3,31,,601,"38,019",63.3,578,"12,385",21.4,98,590,"37,864",64.2,"21,812",37.3
