Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,30,115,9,15%,246,38,45,9,31,6,129,13,53,8,19,5,9,4,5,2,74,30%
CGY,34,103,15,16%,234,37,41,4,37,4,133,18,38,7,15,4,7,2,4,2,75,32%
EDM,24,96,15,19%,237,46,48,8,41,1,122,23,46,12,14,4,13,5,1,1,75,32%
HAM,38,90,13,18%,228,41,39,7,30,2,118,25,47,7,15,0,16,6,2,1,62,27%
MTL,41,99,10,16%,229,36,37,6,34,3,139,17,31,5,12,4,12,5,1,0,77,34%
OTT,38,101,8,19%,237,45,39,6,36,3,124,25,47,10,16,3,12,4,2,0,70,30%
SSK,26,111,16,20%,256,51,47,5,33,6,145,29,43,6,15,4,16,4,4,2,80,31%
TOR,47,107,13,15%,240,36,31,6,42,2,153,22,24,6,12,4,9,2,0,0,83,35%
WPG,41,105,12,11%,228,26,38,6,31,3,124,15,46,2,13,2,12,2,2,2,91,40%
CFL,319,927,111,,"2,135",356,365,57,315,30,1187,187,375,63,131,30,106,34,21,10,687,32%
