Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.4,80,6,6,1,3,6,97,"4,497",72,753,10.5,91,36.1,"3,504",(61),-165,+101,"3,379",34.8
CGY,47.3,77,5,12,4,8,4,117,"5,539",91,"1,053",11.6,94,36.6,"4,286",(63),-190,+187,"4,220",36.1
EDM,45.4,85,9,5,0,9,9,121,"5,491",85,"1,067",12.6,68,33.6,"4,064",(108),-235,+140,"3,861",31.9
HAM,44.5,78,2,5,1,2,5,95,"4,230",75,706,9.4,77,36.3,"3,444",(18),-125,+70,"3,371",35.5
MTL,46.9,67,1,8,0,3,1,92,"4,312",75,741,9.9,48,38.4,"3,531",(9),-57,+44,"3,509",38.1
OTT,47.8,74,4,9,2,8,2,110,"5,260",87,952,10.9,107,37.7,"4,148",(56),-180,+88,"4,000",36.4
SSK,47.9,90,6,9,2,6,7,117,"5,609",89,"1,174",13.2,92,35.9,"4,195",(45),-161,+55,"4,044",34.6
TOR,48.2,75,7,11,0,4,3,102,"4,914",80,850,10.6,52,37.1,"3,784",(101),-75,+68,"3,676",36.0
WPG,46.3,73,2,9,0,4,8,77,"3,563",58,768,13.2,48,35.3,"2,715",(2),-70,+70,"2,713",35.2
CFL,46.8,90,42,74,10,47,,928,"43,415",712,"8,064",11.3,107,36.3,"33,671",(463),-1258,+823,"32,773",35.3
