Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,73.1,63.8,38.4,380,193,50.8,67,49,94,60,219,84,"2,972",7.82
CGY,78.0,42.1,32.7,388,173,44.6,82,64,95,40,211,69,"2,878",7.42
EDM,68.1,53.2,32.6,350,159,45.4,72,49,94,50,184,60,"2,619",7.48
HAM,66.1,54.7,42.6,389,191,49.1,59,39,95,52,235,100,"2,986",7.68
MTL,74.7,48.4,35.8,367,172,46.9,75,56,91,44,201,72,"2,682",7.31
OTT,72.2,48.8,33.0,374,165,44.1,72,52,84,41,218,72,"2,749",7.35
SSK,66.7,47.2,36.8,408,181,44.4,72,48,89,42,247,91,"3,143",7.70
TOR,76.3,52.6,37.7,342,174,50.9,80,61,95,50,167,63,"2,449",7.16
WPG,81.7,61.3,39.2,375,210,56.0,93,76,106,65,176,69,"2,403",6.41
CFL,73.5,52.7,36.6,"3,373","1,618",48.0,672,494,843,444,"1,858",680,"24,881",7.38
