Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,20,15,5,25,21,84%
CGY,25,23,2,23,16,70%
EDM,22,17,5,26,22,85%
HAM,23,20,3,25,21,84%
MTL,21,18,3,23,19,83%
OTT,27,22,5,19,15,79%
SSK,39,31,8,17,14,82%
TOR,10,5,5,29,26,90%
WPG,23,19,4,23,16,70%
CFL,210,170,40,210,170,81%
