Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.7,80,5,3,1,2,T6,72,"3,359",54,547,10.1,91,36.3,"2,612",(52),-130,+91,"2,521",35.0
CGY,48.2,77,4,9,4,6,4,90,"4,338",71,862,12.1,94,36.8,"3,316",(51),-115,+128,"3,278",36.4
EDM,45.8,85,6,2,0,4,9,88,"4,026",61,704,11.5,54,35.0,"3,082",(72),-205,+123,"2,928",33.3
HAM,44.7,78,1,5,1,2,8,72,"3,215",57,574,10.1,77,36.1,"2,601",(17),-85,+60,"2,559",35.5
MTL,47.1,67,0,6,0,2,2,66,"3,107",54,521,9.6,48,39.2,"2,586",(0),-57,+38,"2,567",38.9
OTT,48.8,74,3,7,1,4,1,75,"3,659",60,557,9.3,79,39.8,"2,982",(48),-125,+78,"2,887",38.5
SSK,48.0,90,3,6,2,4,T6,86,"4,128",69,889,12.9,92,36.3,"3,119",(35),-116,+25,"2,993",34.8
TOR,48.5,75,5,8,0,2,3,65,"3,150",49,531,10.8,52,37.2,"2,419",(62),-60,+38,"2,335",35.9
WPG,46.8,73,2,9,0,2,5,68,"3,180",51,627,12.3,45,36.4,"2,473",(2),-65,+70,"2,476",36.4
CFL,47.2,90,29,55,9,28,,682,"32,162",526,"5,812",11.0,94,36.9,"25,190",(339),-958,+651,"24,544",36.0
