Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,18,2,20,1.67
CGY,11,6,17,1.31
EDM,8,7,15,1.15
HAM,15,2,17,1.42
MTL,16,8,24,2.00
OTT,5,3,8,0.67
SSK,4,5,9,0.75
TOR,7,1,8,0.73
WPG,11,0,11,0.85
CFL,95,34,129,2.35
