Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,,1,4,2,5,59,635,10.8,44,36,794,22.1,62,0,3,94,48,0,0,0,0,0
CGY,0,4,,2,5,1,7,64,783,12.2,54,52,"1,079",20.8,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,2,8,1,5,57,546,9.6,52,47,953,20.3,72,0,3,57,30,0,0,0,0,0
HAM,0,2,,8,1,2,12,45,454,10.1,39,51,"1,243",24.4,71,1,3,148,79,0,0,1,0,1
MTL,1,2,,2,3,1,5,50,453,9.1,77,49,"1,117",22.8,79,0,3,83,60,0,1,0,0,1
OTT,1,3,,0,6,0,3,62,614,9.9,79,47,967,20.6,39,0,0,0,0,0,1,0,0,1
SSK,2,2,,3,2,0,5,65,696,10.7,94,54,"1,279",23.7,82,0,1,29,29,0,2,0,0,2
TOR,4,9,,1,9,0,10,61,945,15.5,91,36,638,17.7,41,0,0,0,0,0,4,0,0,4
WPG,1,2,,3,7,2,7,63,686,10.9,92,28,570,20.4,43,0,5,215,102,0,1,0,0,1
CFL,9,28,222,22,,9,59,526,"5,812",11.0,94,400,"8,640",21.6,82,1,21,761,102,0,9,1,0,10
