Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,3,46,"2,830",61.5,45,901,20.0,82,45,"2,820",62.7,"1,548",35.2
CGY,82,0,0,0,2,41,"2,724",66.4,41,894,21.8,42,41,"2,724",66.4,"1,418",36.4
EDM,100,1,1,0,2,41,"2,339",57.0,37,588,15.9,62,41,"2,339",57.0,"1,532",39.3
HAM,79,0,0,0,2,42,"2,425",57.7,39,719,18.4,43,39,"2,383",61.1,"1,668",40.7
MTL,77,0,0,0,0,42,"2,773",66.0,42,902,21.5,37,42,"2,773",66.0,"1,464",35.7
OTT,77,0,0,0,0,38,"2,305",60.7,37,700,18.9,37,38,"2,305",60.7,"1,433",37.7
SSK,95,1,1,0,1,36,"2,184",60.7,33,635,19.2,41,34,"2,162",63.6,"1,265",36.1
TOR,100,2,0,0,8,62,"4,504",72.6,60,"1,623",27.1,79,62,"4,504",72.6,"2,170",35.6
WPG,90,1,0,0,4,67,"4,469",66.7,66,"1,678",25.4,62,67,"4,469",66.7,"2,511",38.0
CFL,100,6,2,1,22,415,"26,553",64.0,400,"8,640",21.6,82,409,"26,479",64.7,"15,009",37.2
