,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,258,109,42.2,53,38,71.7,59,25,42.4,146,46,31.5,"1,984",7.69
,CGY,282,132,46.8,65,50,76.9,74,47,63.5,143,35,24.5,"2,082",7.38
,EDM,291,152,52.2,59,46,78.0,79,46,58.2,153,60,39.2,"2,019",6.94
,HAM,246,121,49.2,54,37,68.5,57,32,56.1,135,52,38.5,"1,766",7.18
,MTL,268,128,47.8,54,35,64.8,68,37,54.4,146,56,38.4,"1,887",7.04
,OTT,264,130,49.2,44,28,63.6,68,30,44.1,152,72,47.4,"1,998",7.57
,SSK,251,113,45.0,56,40,71.4,57,25,43.9,138,48,34.8,"1,823",7.26
,TOR,248,111,44.8,46,28,60.9,53,28,52.8,149,55,36.9,"1,928",7.77
,WPG,266,108,40.6,39,29,74.4,73,34,46.6,154,45,29.2,"2,056",7.73
,CFL,"2,374","1,104",46.5,470,331,70.4,588,304,51.7,"1,316",469,35.6,"17,543",7.39
