Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,258,187,72.5,1495,5,1,79.8,70,42,60.0,662,1,5,109.3,55,18,32.7,723,4,5,84.1
CGY,239,194,81.2,1631,1,5,103.4,80,38,47.5,621,7,3,50.1,61,20,32.8,782,2,12,134.7
EDM,207,159,76.8,1258,3,5,93.4,88,57,64.8,999,2,2,101.5,68,36,52.9,1084,4,9,132.2
HAM,190,144,75.8,1457,3,6,101.1,86,53,61.6,953,3,3,96.7,58,27,46.6,857,6,7,99.6
MTL,243,177,72.8,1499,7,2,79.2,54,27,50.0,436,4,1,52.7,71,30,42.3,956,5,10,111.0
OTT,213,168,78.9,1768,6,10,106.3,93,53,57.0,936,3,2,85.2,69,30,43.5,1206,7,9,112.3
SSK,179,137,76.5,1276,3,4,96.0,72,44,61.1,762,3,5,102.9,81,29,35.8,1035,6,10,95.4
TOR,256,211,82.4,1713,4,5,98.6,63,44,69.8,752,4,4,104.7,71,29,40.8,881,8,13,101.9
WPG,237,169,71.3,1325,6,3,78.5,92,49,53.3,805,3,1,73.0,71,21,29.6,773,3,4,73.3
CFL,"2,022","1,546",76.5,"13,422",38,41,92.4,698,407,58.3,6926,30,26,86.5,605,240,39.7,"8,297",45,79,104.8
