Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,30,2,0,1,1,0,22,18,8,11,1,0,44,85,53,60,0
CGY,3,31,8,0,4,0,0,36,27,9,20,3,0,83,91,67,95,14
EDM,3,35,8,1,0,0,0,32,25,14,16,2,0,44,95,105,94,0
HAM,1,26,3,1,1,0,0,35,31,17,16,1,0,76,85,63,102,0
MTL,0,32,3,0,0,0,0,29,26,15,13,0,1,74,82,72,71,0
OTT,1,28,5,0,1,0,0,33,21,10,21,0,1,61,86,89,65,9
SSK,1,32,7,0,2,0,0,36,32,12,19,1,2,61,110,65,108,9
TOR,3,16,1,0,0,0,0,28,21,3,22,2,1,38,85,44,77,0
WPG,4,29,8,0,0,0,0,24,16,9,8,4,3,63,60,63,63,14
CFL,16,259,45,2,9,1,0,275,217,97,146,14,8,544,779,621,735,46
