Team,C1_Miss,C2_Rsh,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%,C2_Pass,C2_Def
BC,1,0,3,2,66.7,0,0,0,0,0
CGY,0,0,0,0,0,1,0,0.0,0,0
EDM,0,0,1,1,100.0,0,0,0,0,0
HAM,0,0,1,1,100.0,3,1,33.3,1,0
MTL,0,0,1,1,100.0,0,0,0,0,0
OTT,0,0,0,0,0,0,0,0,0,0
SSK,0,0,1,1,100.0,0,0,0,0,0
TOR,0,0,0,0,0,0,0,0,0,0
WPG,0,0,4,4,100.0,0,0,0,0,0
CFL,1,0,11,10,90.9,4,1,25.0,1,0
