Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,109.1,1,92.2,19,18,94.7,128,0,0,9,8,88.9,119,1,1,122.0,8,2,25.0,53,0
CGY,85.4,0,-67.4,27,19,70.4,160,0,0,3,1,33.3,5,0,1,147.9,6,0,0.0,0,1
EDM,87.9,1,108.3,15,11,73.3,89,0,0,6,1,16.7,11,1,0,-45.8,4,1,25.0,102,1
HAM,29.8,1,92.2,17,12,70.6,73,2,0,5,2,40.0,29,0,0,59.6,11,3,27.3,98,0
MTL,118.1,0,148.8,12,10,83.3,134,0,0,3,1,33.3,11,0,0,45.1,5,3,60.0,116,0
OTT,75.8,0,-161.8,20,14,70.0,74,0,0,9,4,44.4,59,0,0,66.4,6,1,16.7,44,3
SSK,76.0,0,-67.4,19,14,73.7,77,1,1,9,6,66.7,102,0,0,104.9,6,0,0.0,0,1
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,144.1,2,224.7,12,11,91.7,109,0,1,11,6,54.5,111,0,0,89.6,7,4,57.1,134,0
CFL,87.3,5,51.4,141,109,77.3,844,3,2,55,29,52.7,447,2,2,76.9,53,14,26.4,547,6
