Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,80.0,60.0,37.5,23,13,56.5,5,4,10,6,8,3,137,5.96
CGY,60.0,42.9,36.4,23,10,43.5,5,3,7,3,11,4,160,6.96
EDM,40.0,100.0,8.3,18,4,22.2,5,2,1,1,12,1,138,7.67
HAM,100.0,75.0,9.1,18,7,38.9,3,3,4,3,11,1,131,7.28
MTL,66.7,40.0,35.7,22,9,40.9,3,2,5,2,14,5,183,8.32
OTT,66.7,50.0,23.5,22,7,31.8,3,2,2,1,17,4,173,7.86
SSK,40.0,50.0,52.9,26,13,50.0,5,2,4,2,17,9,186,7.15
TOR,,,,0,0,,0,0,0,0,0,0,0,
WPG,75.0,71.4,41.7,23,13,56.5,4,3,7,5,12,5,147,6.39
CFL,63.6,57.5,31.4,175,76,43.4,33,21,40,23,102,32,"1,255",7.17
