Team,Int,TD,LG,30+,2D_conversions,TDI,yds_per_game,GP,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,Dropbacks,SA%,SA,Esc_runs
BC,1,1,21,0,6,1.00,8.3,1,36,20,55.6,165,65.2,2.8,4.6,104,40,8%,3,1
CGY,1,2,30,1,5,2.00,11.4,1,36,28,77.8,300,108.6,2.8,8.3,109,39,0%,0,3
EDM,2,1,38,1,7,0.50,10.1,1,34,20,58.8,179,58.3,5.9,5.3,64,37,5%,2,1
HAM,0,3,47,4,9,0,13.7,1,30,21,70.0,354,142.9,0.0,11.8,127,32,3%,1,1
MTL,3,0,44,1,6,0.00,12.7,1,35,19,54.3,177,32.7,8.6,5.1,34,38,3%,1,2
OTT,0,0,61,3,6,0,12.2,1,20,14,70.0,261,114.8,0.0,13.1,121,27,22%,6,1
SSK,2,1,102,1,2,0.50,12.1,1,25,13,52.0,202,59.1,8.0,8.1,118,31,16%,5,1
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,2,1,47,2,3,0.50,14.9,1,33,17,51.5,200,55.1,6.1,6.1,64,36,8%,3,0
CFL,11,9,102,13,44,0.82,11.8,4,249,152,61.0,"1,838",77.4,4.4,7.4,741,280,###,21,10
