Team,TOP,Gap,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,33:50,-16.1,13,369,28.4,0,0,14,623,44.5
CGY,26:10,+16.1,14,623,44.5,2,0,13,369,28.4
EDM,26:21,-3.6,16,528,33.0,1,0,15,549,36.6
HAM,35:04,-1.4,15,629,41.9,3,1,16,693,43.3
MTL,32:45,+14.1,15,648,43.2,2,0,15,436,29.1
OTT,27:15,-14.1,15,436,29.1,0,0,15,648,43.2
SSK,33:39,+3.6,15,549,36.6,3,1,16,528,33.0
TOR,,,0,0,,0,0,0,0,
WPG,24:56,+1.4,16,693,43.3,2,0,15,629,41.9
CFL,30:00,,119,4475,37.6,13,2,119,4475,37.6
