Team,Penalties_total,Illegal_pnt,Illegal_K/O,Penalties_punt,Penalties_K/O
BC,0,1,0,4,0
CGY,0,0,0,0,0
EDM,0,0,0,1,0
HAM,2,1,1,3,3
MTL,3,0,0,0,0
OTT,0,0,1,0,1
SSK,1,0,0,2,0
TOR,0,0,0,0,0
WPG,1,0,0,0,0
CFL,7,2,2,10,4
