TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,9,2,2,100.0,0,0,0,14,100%,2,1,50.0,1,0,0
CGY,14,2,1,50.0,1,0,0,9,64%,2,2,100.0,0,0,0
EDM,13,2,0,0.0,1,1,0,3,21%,3,1,33.3,2,0,0
HAM,27,2,2,100.0,0,0,0,15,107%,6,3,50.0,1,1,1
MTL,6,2,1,50.0,1,0,0,10,71%,2,0,0.0,2,0,0
OTT,10,2,0,0.0,2,0,0,6,43%,2,1,50.0,1,0,0
SSK,3,3,1,33.3,2,0,0,13,62%,2,0,0.0,1,1,0
TOR,0,0,0,,0,0,0,0,,0,0,,0,0,0
WPG,15,6,3,50.0,1,1,1,27,64%,2,2,100.0,0,0,0
CFL,97,21,10,47.6,8,2,1,97,66%,21,10,47.6,8,2,1
