Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,15,956,63.7,14,303,21.6,43,15,956,63.7,533,35.5
CGY,79,0,0,0,1,11,734,66.7,11,281,25.5,42,11,734,66.7,457,41.5
EDM,68,0,0,0,1,10,524,52.4,10,149,14.9,62,10,524,52.4,387,43.0
HAM,79,0,0,0,1,12,706,58.8,10,191,19.1,43,11,693,63.0,457,41.5
MTL,72,0,0,0,0,11,729,66.3,11,232,21.1,30,11,729,66.3,382,34.7
OTT,67,0,0,0,0,9,508,56.4,8,104,13.0,25,9,508,56.4,319,35.4
SSK,71,0,0,0,1,11,658,59.8,11,209,19.0,41,11,658,59.8,414,37.6
TOR,98,1,0,0,1,19,"1,368",72.0,18,472,26.2,72,19,"1,368",72.0,664,34.9
WPG,90,1,0,0,1,19,"1,264",66.5,18,417,23.2,40,19,"1,264",66.5,698,36.7
CFL,98,3,0,0,8,117,"7,447",63.6,111,"2,358",21.2,72,116,"7,434",64.1,"4,311",37.5
