Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,SA,Sack%,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"1,249",8,8,61,4,27,312,13.2,7,4%,9,156,140,97,69.3,92.2,5.7,8.9,388,1.00
CGY,788,5,2,56,6,17,263,9.3,5,4%,5,115,105,61,58.1,68.3,4.8,7.5,464,0.40
EDM,826,6,5,102,3,14,207,10.1,16,12%,6,131,109,68,62.4,78.0,5.5,7.6,364,0.83
HAM,824,6,2,61,5,19,275,12.5,7,5%,3,128,118,71,60.2,65.8,5.1,7.0,238,0.33
MTL,823,1,2,69,9,17,274,11.4,15,16%,6,93,72,50,69.4,111.1,1.4,11.4,363,0
OTT,600,5,1,54,4,14,200,10.1,4,4%,5,102,93,54,58.1,58.5,5.4,6.5,266,0.20
SSK,867,3,5,60,6,20,289,10.6,9,8%,5,119,105,69,65.7,95.2,2.9,8.3,343,1.67
TOR,751,2,2,59,5,14,250,11.9,4,5%,1,81,76,50,65.8,95.9,2.6,9.9,328,1.00
WPG,"1,038",2,7,47,8,27,260,12.2,10,8%,4,132,118,78,66.1,106.5,1.7,8.8,321,3.50
CFL,"7,766",38,34,102,50,169,518,11.3,77,7%,44,"1,057",936,598,63.9,85.1,4.1,8.3,"3,075",0.89
