Team,PA,Avg,Avg,Diff,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,66,16.5,25.3,+8.8,100,25.0,13.3,53,25.0,13.3,4,101,16.5,25.3
CGY,69,23.0,22.3,-0.7,61,20.3,20.7,62,20.3,20.7,3,67,23.0,22.3
EDM,108,27.0,12.8,-14.3,45,11.3,25.5,102,11.3,25.5,4,51,27.0,12.8
HAM,112,37.3,19.0,-18.3,45,15.0,32.7,98,15.0,32.7,3,57,37.3,19.0
MTL,41,13.7,20.0,+6.3,48,16.0,13.7,41,16.0,13.7,3,60,13.7,20.0
OTT,52,17.3,17.7,+0.3,47,15.7,15.3,46,15.7,15.3,3,53,17.3,17.7
SSK,84,28.0,24.3,-3.7,73,24.3,25.7,77,24.3,25.7,3,73,28.0,24.3
TOR,69,23.0,40.0,+17.0,101,33.7,21.0,63,33.7,21.0,3,120,23.0,40.0
WPG,91,22.8,27.5,+4.8,101,25.3,19.8,79,25.3,19.8,4,110,22.8,27.5
CFL,692,46.1,46.1,,621,41.4,41.4,621,41.4,41.4,15,692,46.1,46.1
