TM,1st_down_plays,1st_down_avg_yds,Opp_1st_down_plays,Opp_1st_down_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,136,7.31,110,5.34,51,85
CGY,98,6.72,101,7.34,45,53
EDM,104,5.60,133,6.56,35,69
HAM,95,5.75,96,8.32,27,68
MTL,82,6.46,90,5.96,37,45
OTT,85,5.07,87,6.23,27,58
SSK,100,4.38,97,6.70,35,65
TOR,99,7.97,99,5.91,58,41
WPG,132,6.70,118,4.58,64,68
CFL,931,6.29,931,6.29,379,552
