Team,Int,TD,LG,30+,2D_conversions,TDI,yds_per_game,GP,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,Dropbacks,SA%,SA,Esc_runs
BC,2,2,47,1,17,1.00,9.8,4,121,75,62.0,731,77.5,1.7,6.0,296,137,10%,14,2
CGY,4,3,60,4,15,0.75,10.3,3,104,69,66.3,813,83.5,3.8,7.8,375,115,5%,6,5
EDM,5,4,54,8,23,0.80,10.9,4,112,72,64.3,952,84.4,4.5,8.5,394,122,3%,4,6
HAM,0,5,59,8,19,0,12.1,3,78,54,69.2,884,128.4,0.0,11.3,393,86,7%,6,2
MTL,6,2,61,5,22,0.33,12.2,3,106,59,55.7,699,58.6,5.7,6.6,172,114,4%,4,4
OTT,4,1,61,8,18,0.25,11.4,3,86,55,64.0,816,79.4,4.7,9.5,380,101,12%,12,3
SSK,5,4,102,5,16,0.80,11.6,3,92,55,59.8,786,79.3,5.4,8.5,362,106,6%,6,8
TOR,9,7,84,3,17,0.78,11.5,3,106,76,71.7,965,86.4,8.5,9.1,369,122,9%,11,5
WPG,3,6,69,8,22,2.00,12.6,4,131,83,63.4,"1,120",96.2,2.3,8.5,334,154,9%,14,9
CFL,38,34,102,50,169,0.89,11.3,15,936,598,63.9,"7,766",85.1,4.1,8.3,"3,075","1,057",###,77,44
