Team,Record_W,Record_L,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff,GP
BC,3,1,1,0,2,1,101.0,66.0,35.0,4
CGY,1,2,0,2,1,0,67.0,69.0,-2.0,3
EDM,0,4,0,2,0,2,51.0,108.0,-57.0,4
HAM,0,3,0,1,0,2,57.0,112.0,-55.0,3
MTL,2,1,1,1,1,0,60.0,41.0,19.0,3
OTT,1,2,1,1,0,1,53.0,52.0,1.0,3
SSK,2,1,0,1,2,0,73.0,84.0,-11.0,3
TOR,3,0,2,0,1,0,120.0,69.0,51.0,3
WPG,3,1,1,1,2,0,110.0,91.0,19.0,4
2023 Total,15,15,6,9,9,6,46.1,,,30
In 2022,81,81,37,44,44,37,50.4,,,162
