Team,GP,Yards,yds_per_game,Off_plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,4,964,241.0,200,4.82,65,0,731,336,-103,33%,68%,0%,121,14
CGY,3,"1,105",368.3,175,6.31,61,4,813,326,-34,35%,63%,2%,104,6
EDM,4,"1,568",392.0,239,6.56,115,8,952,656,-40,48%,49%,3%,112,4
HAM,3,"1,160",386.7,160,7.25,69,7,884,339,-63,43%,53%,4%,78,6
MTL,3,931,310.3,167,5.57,52,5,699,277,-45,31%,66%,3%,106,4
OTT,3,950,316.7,162,5.86,59,5,816,230,-96,36%,60%,3%,86,12
SSK,3,"1,056",352.0,165,6.40,64,3,786,308,-38,39%,59%,2%,92,6
TOR,3,"1,047",349.0,166,6.31,48,1,965,173,-91,29%,70%,1%,106,11
WPG,4,"1,321",330.3,204,6.48,58,1,"1,120",299,-98,28%,71%,0%,131,14
CFL,15,"10,102",673.5,"1,638",6.17,591,34,"7,766","2,944",-608,36%,62%,2%,936,77
