Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,389,291,74.8,2451,8,6,87.2,109,66,60.6,1089,2,8,111.0,87,28,32.2,991,5,6,75.4
CGY,321,253,78.8,2098,4,7,97.1,106,53,50.0,864,9,3,51.8,74,27,36.5,1076,4,14,133.6
EDM,287,223,77.7,1796,3,10,100.2,119,78,65.5,1473,5,3,99.2,89,43,48.3,1262,5,12,123.0
HAM,287,218,76.0,2153,5,7,97.5,129,78,60.5,1320,4,5,95.1,86,35,40.7,1143,10,10,81.7
MTL,353,262,74.2,2148,9,5,83.4,97,53,54.6,855,5,1,66.3,89,36,40.4,1142,6,11,102.4
OTT,312,252,80.8,2407,6,11,105.3,126,74,58.7,1271,6,3,81.2,96,43,44.8,1596,10,15,117.4
SSK,285,222,77.9,2100,5,7,98.6,110,70,63.6,1242,3,7,112.0,114,45,39.5,1587,7,17,117.1
TOR,396,318,80.3,2568,6,8,96.4,104,67,64.4,1149,7,6,93.0,103,43,41.7,1373,12,15,92.4
WPG,293,209,71.3,1714,6,5,83.1,124,67,54.0,1157,3,1,78.6,92,31,33.7,1139,4,5,81.7
CFL,"2,923","2,248",76.9,"19,435",52,66,94.0,1024,606,59.2,10420,44,37,87.9,830,331,39.9,"11,309",63,105,102.6
