Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,53,50,94.33962264150944,25,25,100.0,28,25,89.3,4,2,"1,753",35.1,"1,904",35.9
CGY,53,0,57,50,87.71929824561403,28,27,96.4,29,23,79.3,7,6,"1,802",36.0,"2,123",37.2
EDM,46,3,29,24,82.75862068965517,14,13,92.9,15,11,73.3,1,0,748,32.5,"1,005",34.7
HAM,50,3,46,40,86.95652173913044,36,35,97.2,10,5,50.0,3,1,"1,189",29.7,"1,469",31.9
MTL,51,5,57,44,77.19298245614034,30,26,86.7,27,18,66.7,5,4,"1,479",33.6,"2,040",35.8
OTT,54,2,46,39,84.78260869565217,24,23,95.8,22,16,72.7,11,8,"1,332",34.2,"1,654",36.0
SSK,54,2,48,40,83.33333333333334,31,28,90.3,17,12,70.6,7,3,"1,292",32.3,"1,642",34.2
TOR,53,1,41,38,92.6829268292683,29,29,100.0,12,9,75.0,3,2,"1,192",31.4,"1,325",32.3
WPG,53,0,46,42,91.30434782608697,29,30,103.4,16,12,75.0,5,3,"1,291",31.5,"1,536",33.4
CFL,54,16,423,367,86.7612293144208,246,236,95.9,176,131,74.4,46,29,"12,078",33.1,"14,698",34.7
