,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,395,182,46.1,76,57,75.0,100,50,50.0,219,75,34.2,"2,989",7.57
,CGY,367,172,46.9,85,66,77.6,100,57,57.0,182,49,26.9,"2,658",7.24
,EDM,400,211,52.8,84,65,77.4,109,65,59.6,207,81,39.1,"2,745",6.86
,HAM,351,177,50.4,75,56,74.7,77,43,55.8,199,78,39.2,"2,549",7.26
,MTL,375,180,48.0,77,54,70.1,98,51,52.0,200,75,37.5,"2,655",7.08
,OTT,363,178,49.0,67,46,68.7,95,45,47.4,201,87,43.3,"2,705",7.45
,SSK,385,189,49.1,78,61,78.2,95,49,51.6,212,79,37.3,"2,818",7.32
,TOR,394,183,46.4,79,52,65.8,80,43,53.8,235,88,37.4,"3,065",7.78
,WPG,343,146,42.6,51,37,72.5,89,41,46.1,203,68,33.5,"2,697",7.86
,CFL,"3,373","1,618",48.0,672,494,73.5,843,444,52.7,"1,858",680,36.6,"24,881",7.38
