Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,3,3,3,9,81,911,11.2,68,64,"1,412",22.1,62,0,6,239,120,1,0,0,1,1
CGY,0,4,,2,7,1,7,80,926,11.6,54,65,"1,349",20.8,47,0,3,135,86,0,0,0,0,0
EDM,0,3,,5,T4,1,9,78,802,10.3,52,74,"1,618",21.9,98,1,4,80,30,0,0,1,0,1
HAM,0,4,,8,1,3,15,64,669,10.5,54,68,"1,550",22.8,71,1,5,237,79,0,0,1,0,1
MTL,1,7,,4,2,2,13,74,783,10.6,77,63,"1,402",22.3,79,0,5,221,125,1,1,0,1,2
OTT,1,6,,2,6,1,9,79,846,10.7,79,71,"1,514",21.3,93,1,4,98,69,0,1,1,0,2
SSK,3,4,,3,T4,1,8,90,985,10.9,107,79,"1,730",21.9,82,0,3,107,59,0,3,0,0,3
TOR,4,13,,1,9,0,14,88,"1,267",14.4,91,55,"1,017",18.5,41,0,4,34,23,0,4,0,0,4
WPG,1,3,,3,8,2,8,78,875,11.2,92,39,793,20.3,43,0,5,215,102,0,1,0,0,1
CFL,10,47,320,31,,14,92,712,"8,064",11.3,107,578,"12,385",21.4,98,3,39,"1,366",125,2,10,3,2,15
