Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,383,96,260,27,375,130,209
CGY,317,113,180,24,335,137,175
EDM,323,126,164,33,380,149,197
HAM,331,110,200,21,364,125,213
MTL,322,109,186,27,336,115,188
OTT,341,139,164,38,341,101,218
SSK,361,117,223,21,362,136,205
TOR,345,125,194,26,357,107,218
WPG,397,150,211,36,270,85,159
CFL,3120,"1,085","1,782",253,"3,120",1085,1782
