Team,,Team,% Md,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md
BC,,BC,0.0,0 0,0,1 3,45,44,97.8,1,4,0
CGY,,CGY,33.3,0 2,0,0 6,29,28,96.6,1,6,2
EDM,,EDM,25.0,1 0,0,2 2,37,35,94.6,2,4,1
HAM,,HAM,50.0,0 3,1,2 5,31,26,83.9,5,8,4
MTL,,MTL,20.0,0 1,0,0 5,36,34,94.4,2,5,1
OTT,,OTT,77.8,1 6,0,1 8,28,28,100.0,0,9,7
SSK,,SSK,42.9,0 3,0,0 7,30,28,93.3,2,7,3
TOR,,TOR,66.7,2 2,0,3 3,57,52,91.2,5,6,4
WPG,,WPG,33.3,0 1,0,0 3,59,54,91.5,5,3,1
CFL,,CFL,44.2,4 18,1,9 42,352,329,93.5,23,52,23
