Team,,Diff,,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_Tot,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,+2,92.0,41,2.28,5,27,3,3,3,39,7,25,3,4,0
CGY,,-8,68.0,41,2.41,7,27,4,2,1,49,14,22,8,2,3
EDM,,+6,45.0,55,3.06,17,29,3,5,1,49,10,27,9,2,1
HAM,,-2,81.0,46,2.71,6,25,4,8,3,48,14,28,2,3,1
MTL,,+14,70.0,52,3.06,10,29,7,4,2,38,12,20,3,1,2
OTT,,-23,87.0,37,2.18,15,13,6,2,1,60,9,39,8,1,3
SSK,,-18,,44,2.44,7,29,4,3,1,62,12,39,6,3,2
TOR,,+17,,60,3.53,14,32,13,1,0,43,2,26,4,10,1
WPG,,+12,,58,3.41,10,40,3,3,2,46,11,25,4,5,1
CFL,,0,,434,5.56,91,251,47,31,14,434,91,251,47,31,14
