Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.4,23,115.3,314,258,82.2,"2,323",1,6,155,96,61.9,"1,555",14,6,70.8,144,59,41.0,"1,794",9
CGY,83.2,7,96.4,383,275,71.8,"2,234",6,4,109,57,52.3,868,6,7,77.3,78,28,35.9,"1,045",4
EDM,89.6,11,134.0,300,218,72.7,"1,863",8,11,98,47,48.0,861,5,0,57.4,70,34,48.6,"1,256",6
HAM,91.5,10,86.5,349,264,75.6,"2,332",10,11,107,64,59.8,"1,113",4,2,85.9,102,40,39.2,"1,266",8
MTL,99.0,8,80.6,327,268,82.0,"2,344",5,5,99,55,55.6,"1,020",2,3,93.0,69,28,40.6,"1,000",9
OTT,93.8,3,15.7,318,240,75.5,"2,103",3,5,106,67,63.2,"1,058",4,1,83.8,59,16,27.1,533,9
SSK,88.4,9,68.2,390,297,76.2,"2,363",7,6,139,91,65.5,"1,606",3,5,107.8,102,31,30.4,"1,078",8
TOR,98.8,15,124.2,264,207,78.4,"1,891",3,5,98,60,61.2,"1,142",3,5,105.9,101,45,44.6,"1,559",7
WPG,100.1,19,160.7,278,221,79.5,"1,982",9,13,113,69,61.1,"1,197",3,8,109.6,105,50,47.6,"1,778",3
CFL,94.0,105,102.6,"2,923","2,248",76.9,"19,435",52,66,1024,606,59.2,10420,44,37,87.9,830,331,39.9,"11,309",63
