TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,270 69%,52,31,59.6,15,5,1,253,70%,56,30,53.6,20,6,0
CGY,200 70%,47,24,51.1,18,5,0,221,67%,41,23,56.1,14,4,0
EDM,308 70%,36,24,66.7,7,5,0,187,74%,63,34,54.0,23,3,3
HAM,256 69%,55,30,54.5,21,4,0,271,70%,53,30,56.6,15,7,1
MTL,235 66%,45,22,48.9,15,8,0,198,63%,51,27,52.9,16,8,0
OTT,279 71%,48,22,45.8,16,8,2,204,61%,56,33,58.9,20,3,0
SSK,281 74%,47,24,51.1,16,7,0,215,65%,54,33,61.1,16,5,0
TOR,223 69%,62,39,62.9,18,4,1,328,76%,46,27,58.7,12,6,1
WPG,176 63%,68,41,60.3,21,5,1,351,74%,40,20,50.0,11,9,0
CFL,"2,228 69%",460,257,55.9,147,51,5,"2,228",69%,460,257,55.9,147,51,5
