2023 CFL PENALTIES,137,FULL SEASON - TOTALS & PER GAME:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,TOTAL GAME PLAYS,Unnamed: 4,PER POSS'N
TYPE OF CALLS,DECL,2023 PerG % ∆ 2022 PerG 2021,PerG,2019.0,PerG,YEAR,Plays PerG Off*,Sp T,Poss Avg
PREVENTABLE:,,,,,,2023,"11,373 145.8 9,070","2,304","2,135 4.25"
Offside - Offence,15,45 0.58 -10% 52 0.64 63,1.00,57.0,0.70,2022,"11,761 145.2 9,446","2,315","2,167 4.36"
Offside - Defence,31,124 1.59 -17% 156 1.93 121,1.92,176.0,2.17,2021,"9,327 148.0 7,451","1,876","1,748 4.26"
Procedure,1,84 1.08 0% 87 1.07 77,1.22,98.0,1.21,2019,"12,147 150.0 9,731","2,416","2,244 4.34"
