Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,18,"6,682",371.2,3,985,6.78,297,22,"5,672","1,391",-381,30%,68%,2%,613,53
CGY,17,"5,559",327.0,7,945,5.88,332,11,"4,147","1,676",-264,35%,64%,1%,570,32
EDM,18,"5,848",324.9,8,895,6.53,367,8,"3,980","2,224",-356,41%,58%,1%,468,52
HAM,17,"6,099",358.8,4,946,6.45,330,14,"4,711","1,654",-266,35%,64%,1%,558,44
MTL,17,"5,740",337.6,6,910,6.31,338,19,"4,364","1,761",-385,37%,61%,2%,495,58
OTT,17,"5,356",315.1,9,958,5.59,390,17,"3,694","2,172",-510,41%,58%,2%,483,68
SSK,18,"6,236",346.4,5,"1,035",6.03,342,8,"5,047","1,519",-330,33%,66%,1%,631,54
TOR,17,"6,451",379.5,2,868,7.43,370,18,"4,592","1,999",-140,43%,55%,2%,463,17
WPG,17,"7,000",411.8,1,964,7.26,411,25,"4,957","2,331",-288,43%,55%,3%,496,32
CFL,78,"54,971",704.8,,"8,506",6.46,"3,177",142,"41,164","16,727","-2,920",37%,###,2%,"4,777",410
