Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,5,22,3,79.8,30,5,212,957,4.5,130,612,4.7,60,262,21,208,"1,104",5.3,8
CGY,10,32,3,93.1,44,13,252,"1,210",4.8,171,830,4.9,52,212,14,280,"1,650",5.9,9
EDM,10,50,14,123.3,49,8,268,"1,603",6.0,166,"1,067",6.4,90,629,46,307,"1,784",5.8,14
HAM,8,37,5,87.7,43,10,210,"1,052",5.0,141,708,5.0,42,227,21,278,"1,511",5.4,17
MTL,9,26,7,100.1,42,8,234,"1,201",5.1,158,834,5.3,72,365,30,251,"1,401",5.6,15
OTT,14,50,10,132.8,22,5,287,"1,593",5.6,187,"1,009",5.4,114,677,52,240,950,4.0,10
SSK,7,29,4,85.3,41,6,228,"1,023",4.5,131,646,4.9,55,257,21,271,"1,319",4.9,12
TOR,20,34,8,118.3,24,0,252,"1,301",5.2,175,875,5.0,44,202,12,203,807,4.0,3
WPG,14,50,9,135.2,35,8,308,"1,757",5.7,204,"1,207",5.9,45,160,7,213,"1,171",5.5,9
CFL,97,330,63,212.7,330,63,"2,251","11,697",5.20,"1,463","7,788",5.32,574,"2,991",224,"2,251",11697,5.2,97
