Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,16,13,3,13,9,69%
CGY,17,15,2,16,11,69%
EDM,17,13,4,18,15,83%
HAM,17,15,2,20,17,85%
MTL,12,9,3,15,14,93%
OTT,24,21,3,16,12,75%
SSK,26,20,6,15,12,80%
TOR,8,3,5,21,19,90%
WPG,16,13,3,19,13,68%
CFL,153,122,31,153,122,80%
