Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,70.0,63.1,36.8,267,132,49.4,50,35,65,41,152,56,"2,064",7.73
CGY,76.1,37.3,31.1,299,129,43.1,71,54,67,25,161,50,"2,190",7.32
EDM,61.5,52.3,34.6,253,113,44.7,52,32,65,34,136,47,"1,908",7.54
HAM,63.2,54.1,40.8,268,126,47.0,38,24,61,33,169,69,"2,137",7.97
MTL,73.3,49.3,37.1,255,119,46.7,45,33,67,33,143,53,"1,869",7.33
OTT,66.7,48.4,30.7,265,111,41.9,51,34,64,31,150,46,"1,848",6.97
SSK,59.6,39.6,34.5,270,109,40.4,52,31,53,21,165,57,"2,070",7.67
TOR,76.9,57.1,39.4,219,117,53.4,52,40,63,36,104,41,"1,612",7.36
WPG,81.4,60.2,36.8,278,148,53.2,59,48,83,50,136,50,"1,845",6.64
CFL,70.4,51.7,35.6,"2,374","1,104",46.5,470,331,588,304,"1,316",469,"17,543",7.39
