TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,122 62%,32,19,59.4,9,3,1,160,71%,28,12,42.9,13,3,0
CGY,153 68%,35,17,48.6,15,3,0,163,67%,32,17,53.1,12,3,0
EDM,202 69%,25,15,60.0,6,4,0,121,69%,42,22,52.4,16,2,2
HAM,216 69%,35,19,54.3,14,2,0,173,71%,45,25,55.6,13,6,1
MTL,184 73%,32,14,43.8,11,7,0,130,58%,36,21,58.3,13,2,0
OTT,201 72%,33,14,42.4,12,5,2,135,58%,40,23,57.5,15,2,0
SSK,178 75%,35,15,42.9,15,5,0,149,61%,34,21,61.8,10,3,0
TOR,137 70%,41,29,70.7,10,2,0,233,81%,28,17,60.7,6,4,1
WPG,121 60%,46,29,63.0,15,1,1,250,78%,29,13,44.8,9,7,0
CFL,"1,514 69%",314,171,54.5,107,32,4,"1,514",69%,314,171,54.5,107,32,4
