Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,103.5,17,116.6,219,181,82.6,"1,553",0,2,88,51,58.0,860,8,4,68.4,107,45,42.1,"1,280",6
CGY,82.7,7,107.2,297,212,71.4,"1,769",5,3,81,42,51.9,655,5,4,69.7,61,24,39.3,899,4
EDM,87.3,8,141.8,219,157,71.7,"1,379",6,7,71,32,45.1,556,5,0,42.9,47,24,51.1,956,5
HAM,89.2,6,63.0,245,188,76.7,"1,660",7,5,81,49,60.5,791,3,2,86.0,75,24,32.0,736,6
MTL,96.9,6,75.6,216,172,79.6,"1,635",4,3,72,39,54.2,709,1,2,91.7,57,22,38.6,786,7
OTT,93.3,2,0.3,226,168,74.3,"1,446",1,3,72,44,61.1,705,4,1,75.3,38,9,23.7,344,7
SSK,87.4,6,71.9,245,188,76.7,"1,434",5,4,88,61,69.3,"1,035",0,3,120.2,74,21,28.4,740,4
TOR,100.1,11,138.6,160,127,79.4,"1,203",3,4,60,37,61.7,716,2,4,111.5,62,30,48.4,"1,051",5
WPG,98.3,16,175.9,195,153,78.5,"1,343",7,10,85,52,61.2,899,2,6,110.9,84,41,48.8,"1,505",1
CFL,92.4,79,104.8,"2,022","1,546",76.5,"13,422",38,41,698,407,58.3,6926,30,26,86.5,605,240,39.7,"8,297",45
