Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,10,11,71,17,62,1.10,240,40.7,"1,172",9.5,"3,635",36,18,437,383,247,64.5,"2,880",85.9,2.6,7.5,40.7,"1,172"
CGY,10,20,76,16,59,2.00,233,42.6,"1,292",10.0,"3,816",35,28,443,380,252,66.3,"3,034",97.2,2.6,8.0,42.6,"1,292"
EDM,9,16,70,21,80,1.78,257,33.3,"1,114",10.9,"3,945",30,17,410,363,252,69.4,"3,341",102.6,2.5,9.2,33.3,"1,114"
HAM,12,16,59,24,63,1.33,272,40.5,"1,323",11.0,"3,660",28,31,393,334,224,67.1,"3,267",99.7,3.6,9.8,40.5,"1,323"
MTL,16,13,68,16,87,0.81,241,33.6,972,10.9,"4,024",19,22,409,368,234,63.6,"2,891",81.5,4.3,7.9,33.6,972
OTT,16,21,95,33,88,1.31,326,43.0,"1,682",11.2,"4,192",29,24,428,375,251,66.9,"3,910",102.2,4.3,10.4,43.0,"1,682"
SSK,12,19,102,24,52,1.58,256,40.4,"1,242",12.6,"4,184",25,27,384,332,210,63.3,"3,073",97.4,3.6,9.3,40.4,"1,242"
TOR,16,22,84,13,73,1.38,304,43.9,"1,468",9.7,"3,771",39,19,448,390,284,72.8,"3,346",100.2,4.1,8.6,43.9,"1,468"
WPG,12,8,80,17,62,0.67,223,33.1,960,11.5,"4,594",37,33,470,400,239,59.8,"2,903",76.3,3.0,7.3,33.1,960
CFL,113,146,102,181,626,1.29,521,39.2,11225,10.8,"35,821",278,219,"3,822","3,325","2,193",66.0,"28,645",93.4,3.4,8.6,39.2,11225
