Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,7,29,92,25 (3),8,-5,8,14,6,10,24,59
CGY,5,23,58,21 (2),7,+2,4,14,8,10,25,51
EDM,9,31,65,30 (1),5,-13,6,16,4,9,18,21
HAM,7,29,77,28 (1),6,-1,7,15,10,12,28,73
MTL,5,29,80,27 (2),6,-2,12,12,5,16,27,63
OTT,9,29,48,27 (2),5,+1,8,12,9,16,30,86
SSK,10,27,65,26 (1),4,-6,8,9,5,12,21,35
TOR,4,15,37,14 (1),7,+16,1,10,8,16,31,108
WPG,5,24,72,23 (1),13,+8,9,10,8,11,32,98
CFL,61,236,594,221 (14),61,2023,63,112,63,112,236,594
