Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,2,25,72,10,17%,169,28,32,33,4,100,18,21,2,9,2,4,0,2,2,52,31%
CGY,5,21,90,5,13%,186,24,41,27,2,104,11,29,3,10,4,14,4,2,0,67,36%
EDM,3,30,88,7,15%,170,25,17,19,3,107,14,28,5,11,2,5,1,0,0,56,33%
HAM,5,28,71,7,13%,159,21,27,29,1,84,11,26,4,13,4,5,0,2,1,58,36%
MTL,5,27,66,9,13%,159,20,32,31,2,80,9,35,6,6,1,6,2,1,0,49,31%
OTT,5,27,75,14,12%,172,20,31,30,1,97,10,29,3,4,2,9,4,3,0,66,38%
SSK,5,26,86,7,11%,174,20,30,26,2,96,9,29,3,11,1,11,4,1,1,63,36%
TOR,2,14,65,8,26%,148,39,20,21,2,66,17,30,5,14,5,16,10,1,0,47,32%
WPG,2,23,68,13,25%,181,46,29,21,5,110,23,27,8,14,5,8,5,1,0,61,34%
CFL,34,221,681,80,,"1,518",243,259,237,22,844,122,254,39,92,26,78,30,13,4,519,34%
