Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,254,70,161,23,218,70,126
CGY,239,83,138,18,260,109,132
EDM,227,89,116,22,277,107,142
HAM,221,72,136,13,263,98,144
MTL,222,70,133,19,233,83,129
OTT,227,97,109,21,232,62,157
SSK,225,72,141,12,226,87,125
TOR,226,84,126,16,223,63,144
WPG,288,108,153,27,197,66,114
CFL,2129,745,"1,213",171,"2,129",745,1213
