Team,,OPP_Tot,Diff Rnk,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,27,-2 5,25,2.08,3,17,2,1,2,5,17,2,3,0
CGY,,40,-6 6,34,2.62,3,24,4,2,1,13,16,6,2,3
EDM,,35,+4 4,39,3.00,14,20,2,2,1,8,21,4,2,0
HAM,,39,-9 T7,30,2.50,5,13,2,8,2,10,24,2,2,1
MTL,,27,+8 3,35,2.92,7,23,2,2,1,8,16,2,0,1
OTT,,43,-20 9,23,1.92,10,10,3,0,0,5,33,4,0,1
SSK,,37,-9 T7,28,2.33,4,19,2,3,0,6,24,4,1,2
TOR,,24,+16 2,40,3.64,8,22,9,1,0,0,13,2,8,1
WPG,,31,+18 1,49,3.77,9,33,2,3,2,8,17,2,4,0
CFL,,303,0,303,5.51,63,181,28,22,9,63,181,28,22,9
2022,,,,377,4.65,84,225,28,28,12,,,,,
2021,,,,277,3.42,62,170,21,12,12,,,,,
2019,,,,387,4.78,87,219,42,26,13,,,,,
2018,,,,435,5.37,101,264,33,26,11,,,,,
2017,,,,445,5.49,83,275,45,29,13,,,,,
