,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,395,182,46.1,76,57,75.0,100,50,50.0,219,75,34.2,"2,989",7.57
,CGY,392,189,48.2,95,74,77.9,106,59,55.7,191,56,29.3,"2,787",7.11
,EDM,400,211,52.8,84,65,77.4,109,65,59.6,207,81,39.1,"2,745",6.86
,HAM,366,178,48.6,78,56,71.8,83,44,53.0,205,78,38.0,"2,645",7.23
,MTL,396,188,47.5,82,58,70.7,101,52,51.5,213,78,36.6,"2,839",7.17
,OTT,387,190,49.1,73,51,69.9,98,46,46.9,216,93,43.1,"2,897",7.49
,SSK,385,189,49.1,78,61,78.2,95,49,51.6,212,79,37.3,"2,818",7.32
,TOR,417,194,46.5,85,56,65.9,84,45,53.6,248,93,37.5,"3,234",7.76
,WPG,356,148,41.6,51,37,72.5,93,41,44.1,212,70,33.0,"2,805",7.88
,CFL,"3,494","1,669",47.8,702,515,73.4,869,451,51.9,"1,923",703,36.6,"25,759",7.37
