Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,53,50,94.33962264150944,25,25,100.0,28,25,89.3,4,2,"1,753",35.1,"1,904",35.9
CGY,53,0,60,52,86.66666666666667,30,29,96.7,30,23,76.7,7,6,"1,866",35.9,"2,232",37.2
EDM,46,3,29,24,82.75862068965517,14,13,92.9,15,11,73.3,1,0,748,32.5,"1,005",34.7
HAM,50,3,48,42,87.5,38,37,97.4,10,5,50.0,3,1,"1,249",29.7,"1,529",31.9
MTL,51,5,61,46,75.40983606557377,32,28,87.5,29,18,62.1,6,4,"1,538",33.4,"2,194",36.0
OTT,54,2,49,42,85.71428571428571,26,25,96.2,23,17,73.9,11,8,"1,441",34.3,"1,763",36.0
SSK,54,2,48,40,83.33333333333334,31,28,90.3,17,12,70.6,7,3,"1,292",32.3,"1,642",34.2
TOR,53,1,43,40,93.02325581395348,31,31,100.0,12,9,75.0,3,2,"1,267",31.7,"1,400",32.6
WPG,53,0,51,47,92.15686274509804,31,32,103.2,19,15,78.9,6,4,"1,477",32.1,"1,722",33.8
CFL,54,16,442,383,86.65158371040724,258,248,96.1,183,135,73.8,48,30,"12,631",33.2,"15,391",34.8
