Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,72,753,10.5,91,1,3,70,"1,363",19.5,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,13,96,"1,099",11.4,94,4,8,57,"1,155",20.3,42,0,2,7,246,102,0,3,4,0,0,4
EDM,,12,85,"1,067",12.6,68,0,9,56,918,16.4,62,0,2,4,166,125,1,1,0,0,1,1
HAM,,7,82,860,10.5,99,2,3,59,"1,221",20.7,49,0,3,3,47,30,0,1,2,0,0,2
MTL,,8,82,787,9.6,48,0,3,67,"1,452",21.7,42,0,1,10,349,122,1,4,0,0,1,1
OTT,,12,91,"1,015",11.2,107,2,8,57,"1,106",19.4,50,0,1,4,282,120,1,3,2,0,1,3
SSK,,11,89,"1,174",13.2,92,2,6,53,"1,017",19.2,43,0,3,6,228,86,0,2,2,0,0,2
TOR,,17,88,995,11.3,52,0,6,89,"2,314",26.0,93,1,10,2,79,60,0,1,0,1,0,1
WPG,,10,59,778,13.2,48,0,4,91,"2,256",24.8,98,1,5,4,110,67,0,1,0,1,0,1
CFL,340,97,744,"8,528",11.5,107,11,50,599,"12,802",21.4,98,3,31,42,"1,549",125,3,16,11,3,3,17
