Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,1,45,6,0,1,1,0,43,38,18,20,3,0,68,146,108,109,8
CGY,3,46,9,0,4,0,0,47,36,14,26,3,0,89,140,91,137,14
EDM,4,48,8,1,0,0,1,52,43,21,25,3,2,102,142,149,124,0
HAM,2,41,6,3,2,0,0,47,40,19,23,3,0,113,129,81,138,0
MTL,1,39,4,0,0,0,1,39,35,20,17,0,1,98,107,78,109,0
OTT,3,41,10,0,2,0,1,55,38,17,30,2,3,98,134,131,135,9
SSK,2,47,9,2,2,0,0,57,51,20,31,2,2,88,177,115,162,9
TOR,3,34,4,0,0,1,0,42,32,7,31,2,1,76,125,69,126,0
WPG,5,40,10,0,0,1,0,35,27,15,12,4,3,109,93,85,76,14
CFL,24,381,66,6,11,3,3,417,340,151,215,22,12,841,"1,193",907,"1,116",54
