Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,4,5,72,"4,384",60.9,70,"1,363",19.5,82,69,"4,338",62.9,"2,562",36.6
CGY,82,0,0,0,2,3,57,"3,653",64.1,57,"1,155",20.3,42,56,"3,638",65.0,"2,030",36.9
EDM,100,1,1,0,2,9,61,"3,534",57.9,56,918,16.4,62,61,"3,534",57.9,"2,297",38.9
HAM,79,1,0,0,3,7,64,"3,822",59.7,59,"1,221",20.7,49,61,"3,780",62.0,"2,506",40.4
MTL,80,0,0,0,1,4,68,"4,412",64.9,67,"1,452",21.7,42,68,"4,412",64.9,"2,402",36.4
OTT,77,0,0,0,1,8,59,"3,494",59.2,57,"1,106",19.4,50,58,"3,481",60.0,"2,354",39.9
SSK,95,1,3,0,3,6,58,"3,425",59.1,53,"1,017",19.2,43,54,"3,373",62.5,"2,050",37.3
TOR,100,2,0,1,10,1,91,"6,447",70.8,89,"2,314",26.0,93,91,"6,447",70.8,"3,128",35.1
WPG,90,1,0,1,5,2,92,"6,061",65.9,91,"2,256",24.8,98,92,"6,061",65.9,"3,367",37.4
CFL,100,7,4,3,31,,622,"39,232",63.1,599,"12,802",21.4,98,610,"39,064",64.0,"22,696",37.5
