Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.4,23,115.3,314,258,82.2,"2,323",1,6,155,96,61.9,"1,555",14,6,70.8,144,59,41.0,"1,794",9
CGY,83.8,7,94.4,394,281,71.3,"2,304",6,5,113,58,51.3,885,6,7,76.0,82,29,35.4,"1,077",4
EDM,89.6,11,134.0,300,218,72.7,"1,863",8,11,98,47,48.0,861,5,0,57.4,70,34,48.6,"1,256",6
HAM,91.0,10,81.8,367,277,75.5,"2,411",10,11,111,64,57.7,"1,113",5,2,79.1,109,42,38.5,"1,346",9
MTL,98.5,9,83.7,343,280,81.6,"2,437",5,5,102,57,55.9,"1,033",2,3,92.5,74,30,40.5,"1,030",9
OTT,92.0,3,19.7,345,256,74.2,"2,244",4,6,113,72,63.7,"1,149",5,2,85.0,60,17,28.3,574,9
SSK,88.4,9,68.2,390,297,76.2,"2,363",7,6,139,91,65.5,"1,606",3,5,107.8,102,31,30.4,"1,078",8
TOR,97.2,16,119.9,285,223,78.2,"2,044",4,5,103,64,62.1,"1,204",3,5,106.6,109,47,43.1,"1,661",8
WPG,99.7,21,165.7,290,230,79.3,"2,056",9,13,118,72,61.0,"1,250",3,8,109.1,113,55,48.7,"1,957",3
CFL,93.6,109,102.9,"3,028","2,320",76.6,"20,045",54,68,1052,621,59.0,10656,46,38,87.3,863,344,39.9,"11,773",65
