Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,18,"6,682",371.2,3,985,6.78,297,22,"5,672","1,391",-381,30%,68%,2%,613,53
CGY,18,"5,787",321.5,8,980,5.91,346,11,"4,266","1,791",-270,35%,64%,1%,589,34
EDM,18,"5,848",324.9,7,895,6.53,367,8,"3,980","2,224",-356,41%,58%,1%,468,52
HAM,18,"6,336",352.0,4,993,6.38,346,14,"4,870","1,740",-274,35%,64%,1%,587,46
MTL,18,"5,935",329.7,6,953,6.23,354,19,"4,500","1,840",-405,37%,61%,2%,519,61
OTT,18,"5,738",318.8,9,"1,017",5.64,411,17,"3,967","2,296",-525,40%,58%,2%,518,71
SSK,18,"6,236",346.4,5,"1,035",6.03,342,8,"5,047","1,519",-330,33%,66%,1%,631,54
TOR,18,"6,801",377.8,2,926,7.34,389,21,"4,909","2,046",-154,42%,56%,2%,497,19
WPG,18,"7,464",414.7,1,"1,031",7.24,448,29,"5,263","2,503",-302,43%,54%,3%,521,33
CFL,81,"56,827",701.6,,"8,815",6.45,"3,300",149,"42,474","17,350","-2,997",37%,###,2%,"4,943",423
