TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,116 66%,29,16,55.2,9,3,1,139,68%,25,12,48.0,11,2,0
CGY,123 65%,25,12,48.0,10,3,0,112,64%,27,13,48.1,11,3,0
EDM,151 67%,20,11,55.0,5,4,0,91,65%,32,17,53.1,11,2,2
HAM,169 67%,28,13,46.4,13,2,0,128,65%,36,19,52.8,11,5,1
MTL,127 70%,26,13,50.0,8,5,0,114,63%,26,14,53.8,10,2,0
OTT,177 70%,28,11,39.3,11,4,2,111,57%,36,20,55.6,14,2,0
SSK,127 73%,30,13,43.3,12,5,0,125,60%,25,15,60.0,7,3,0
TOR,106 69%,30,22,73.3,6,2,0,174,83%,22,13,59.1,5,3,1
WPG,97 58%,37,23,62.2,12,1,1,199,77%,24,11,45.8,6,7,0
CFL,"1,193 67%",253,134,53.0,86,29,4,"1,193",67%,253,134,53.0,86,29,4
