Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,26,1,0,1,1,0,20,18,7,10,1,0,38,79,46,54,0
CGY,3,26,7,0,4,0,0,30,23,6,17,3,0,69,80,57,74,14
EDM,2,28,7,1,0,0,0,27,21,11,14,2,0,37,75,96,72,0
HAM,1,23,2,1,1,0,0,27,24,12,13,1,0,56,85,42,78,0
MTL,0,26,3,0,0,0,0,21,19,10,10,0,1,47,69,59,51,0
OTT,1,26,5,0,1,0,0,30,18,10,18,0,1,58,83,82,51,9
SSK,1,28,7,0,2,0,0,26,23,9,12,1,2,47,75,55,92,3
TOR,2,13,0,0,0,0,0,24,19,3,18,2,1,31,81,32,62,0
WPG,3,22,6,0,0,0,0,22,15,7,8,4,3,57,47,57,58,6
CFL,13,218,38,2,9,1,0,227,180,75,120,14,8,440,674,526,592,32
