Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,4,49,469,9.6,91,1,1,40,821,20.5,82,1,3,2,42,22,0,0,1,1,0,2
CGY,,11,61,770,12.6,94,4,6,34,760,22.4,42,0,2,4,199,102,0,3,4,0,0,4
EDM,,5,54,614,11.4,44,0,3,29,447,15.4,62,0,2,2,41,29,0,0,0,0,0,0
HAM,,4,49,457,9.3,77,1,1,31,592,19.1,43,0,2,2,42,30,0,1,1,0,0,1
MTL,,3,49,462,9.4,48,0,2,37,813,22.0,37,0,0,2,74,47,0,1,0,0,0,0
OTT,,4,58,540,9.3,79,1,4,33,618,18.7,37,0,0,1,24,24,0,0,1,0,0,1
SSK,,6,57,776,13.6,92,2,4,31,608,19.6,41,0,1,3,152,86,0,1,2,0,0,2
TOR,,5,45,487,10.8,52,0,2,48,"1,209",25.2,72,0,3,0,0,0,0,0,0,0,0,0
WPG,,5,44,538,12.2,45,0,2,54,"1,373",25.4,62,0,3,2,18,11,0,0,0,0,0,0
CFL,195,47,466,"5,113",11.0,94,9,25,337,"7,241",21.5,82,1,16,18,592,102,0,6,9,1,0,10
